 ITER          Simple-error          Ya-error
     1      0.66386841E-04      0.18302561E+01
     2      0.17101047E-04      0.17438220E+01
     3      0.92418726E-04      0.16606096E+01
     4      0.21422698E-04      0.15829974E+01
     5      0.27939925E-04      0.15112373E+01
     6      0.12532275E-04      0.14450260E+01
     7      0.12136928E-04      0.13839376E+01
     8      0.10166847E-04      0.13275429E+01
     9      0.98209894E-05      0.12754372E+01
    10      0.97590746E-05      0.12272581E+01
    11      0.94966254E-05      0.11826713E+01
    12      0.93220142E-05      0.11413670E+01
    13      0.91749407E-05      0.11030675E+01
    14      0.90599433E-05      0.10675274E+01
    15      0.89237847E-05      0.10345076E+01
    16      0.88243769E-05      0.10038040E+01
    17      0.87108556E-05      0.97522527E+00
    18      0.86252967E-05      0.94859678E+00
    19      0.85689526E-05      0.92375803E+00
    20      0.85343654E-05      0.90056807E+00
    21      0.85062666E-05      0.87889588E+00
    22      0.84951389E-05      0.85861850E+00
    23      0.84764970E-05      0.83962846E+00
    24      0.84643943E-05      0.82182550E+00
    25      0.84475078E-05      0.80511981E+00
    26      0.84349531E-05      0.78942364E+00
    27      0.84194344E-05      0.77466363E+00
    28      0.84066523E-05      0.76076800E+00
    29      0.83921504E-05      0.74767488E+00
    30      0.83793766E-05      0.73532546E+00
    31      0.83657187E-05      0.72366357E+00
    32      0.83531295E-05      0.71264136E+00
    33      0.83401237E-05      0.70221269E+00
    34      0.83278373E-05      0.69233650E+00
    35      0.83153418E-05      0.68297350E+00
    36      0.83033483E-05      0.67409003E+00
    37      0.82912784E-05      0.66565275E+00
    38      0.82795486E-05      0.65762985E+00
    39      0.82679453E-05      0.64999670E+00
    40      0.82566057E-05      0.64272618E+00
    41      0.82454126E-05      0.63579470E+00
    42      0.82343995E-05      0.62917984E+00
    43      0.82235038E-05      0.62286425E+00
    44      0.82127744E-05      0.61682689E+00
    45      0.82021361E-05      0.61105138E+00
    46      0.81916551E-05      0.60551876E+00
    47      0.81813077E-05      0.60021770E+00
    48      0.81710550E-05      0.59513354E+00
    49      0.81609414E-05      0.59025156E+00
    50      0.81509479E-05      0.58556354E+00
    51      0.81410690E-05      0.58105379E+00
    52      0.81313037E-05      0.57671690E+00
    53      0.81216112E-05      0.57253808E+00
    54      0.81120243E-05      0.56851095E+00
    55      0.81025200E-05      0.56462598E+00
    56      0.80930367E-05      0.56087857E+00
    57      0.80836799E-05      0.55725747E+00
    58      0.80743921E-05      0.55375791E+00
    59      0.80651389E-05      0.55037272E+00
    60      0.80559657E-05      0.54709715E+00
    61      0.80468380E-05      0.54392391E+00
    62      0.80377768E-05      0.54084790E+00
    63      0.80287909E-05      0.53786457E+00
    64      0.80198615E-05      0.53496981E+00
    65      0.80110003E-05      0.53215802E+00
    66      0.80021546E-05      0.52942806E+00
    67      0.79933789E-05      0.52677238E+00
    68      0.79846059E-05      0.52419031E+00
    69      0.79759066E-05      0.52167654E+00
    70      0.79672354E-05      0.51922947E+00
    71      0.79586007E-05      0.51684487E+00
    72      0.79500242E-05      0.51452082E+00
    73      0.79414694E-05      0.51225144E+00
    74      0.79329720E-05      0.51004016E+00
    75      0.79245410E-05      0.50787991E+00
    76      0.79161773E-05      0.50577182E+00
    77      0.79078181E-05      0.50371140E+00
    78      0.78995454E-05      0.50169706E+00
    79      0.78913399E-05      0.49972880E+00
    80      0.78831981E-05      0.49780166E+00
    81      0.78751655E-05      0.49591595E+00
    82      0.78672010E-05      0.49406999E+00
    83      0.78593312E-05      0.49226207E+00
    84      0.78515186E-05      0.49049124E+00
    85      0.78438197E-05      0.48875511E+00
    86      0.78362218E-05      0.48705271E+00
    87      0.78287940E-05      0.48538437E+00
    88      0.78215353E-05      0.48374689E+00
    89      0.78143830E-05      0.48214015E+00
    90      0.78073899E-05      0.48056334E+00
    91      0.78005078E-05      0.47901499E+00
    92      0.77937048E-05      0.47749317E+00
    93      0.77870100E-05      0.47599885E+00
    94      0.77803752E-05      0.47453174E+00
    95      0.77738287E-05      0.47308964E+00
    96      0.77673367E-05      0.47166967E+00
    97      0.77609157E-05      0.47027525E+00
    98      0.77545483E-05      0.46890292E+00
    99      0.77481800E-05      0.46755248E+00
   100      0.77419245E-05      0.46622273E+00
   101      0.77356617E-05      0.46491471E+00
   102      0.77294962E-05      0.46362743E+00
   103      0.77233472E-05      0.46235982E+00
   104      0.77172490E-05      0.46111095E+00
   105      0.77112118E-05      0.45988119E+00
   106      0.77052373E-05      0.45866847E+00
   107      0.76993165E-05      0.45747492E+00
   108      0.76934093E-05      0.45629737E+00
   109      0.76875885E-05      0.45513737E+00
   110      0.76818123E-05      0.45399341E+00
   111      0.76760925E-05      0.45286423E+00
   112      0.76704346E-05      0.45175272E+00
   113      0.76648048E-05      0.45065588E+00
   114      0.76592569E-05      0.44957316E+00
   115      0.76537481E-05      0.44850501E+00
   116      0.76482920E-05      0.44745079E+00
   117      0.76429451E-05      0.44641069E+00
   118      0.76376355E-05      0.44538358E+00
   119      0.76323849E-05      0.44437000E+00
   120      0.76272186E-05      0.44336906E+00
   121      0.76220908E-05      0.44238192E+00
   122      0.76170422E-05      0.44140559E+00
   123      0.76120473E-05      0.44044200E+00
   124      0.76071051E-05      0.43948820E+00
   125      0.76022625E-05      0.43854770E+00
   126      0.75974285E-05      0.43761864E+00
   127      0.75927110E-05      0.43670061E+00
   128      0.75880139E-05      0.43579400E+00
   129      0.75833927E-05      0.43489680E+00
   130      0.75788321E-05      0.43401021E+00
   131      0.75743387E-05      0.43313417E+00
   132      0.75698890E-05      0.43226793E+00
   133      0.75654993E-05      0.43141127E+00
   134      0.75611711E-05      0.43056515E+00
   135      0.75569010E-05      0.42972845E+00
   136      0.75526655E-05      0.42890164E+00
   137      0.75484927E-05      0.42808399E+00
   138      0.75444063E-05      0.42727402E+00
   139      0.75404146E-05      0.42647535E+00
   140      0.75364464E-05      0.42568272E+00
   141      0.75325888E-05      0.42490116E+00
   142      0.75287658E-05      0.42412663E+00
   143      0.75249759E-05      0.42336079E+00
   144      0.75212261E-05      0.42260423E+00
   145      0.75174858E-05      0.42185348E+00
   146      0.75137796E-05      0.42111430E+00
   147      0.75100893E-05      0.42038065E+00
   148      0.75064386E-05      0.41965607E+00
   149      0.75028242E-05      0.41893974E+00
   150      0.74992113E-05      0.41822809E+00
   151      0.74956661E-05      0.41752681E+00
   152      0.74921272E-05      0.41683239E+00
   153      0.74886061E-05      0.41614416E+00
   154      0.74851378E-05      0.41546547E+00
   155      0.74816949E-05      0.41479385E+00
   156      0.74782724E-05      0.41412804E+00
   157      0.74748859E-05      0.41346928E+00
   158      0.74715367E-05      0.41281796E+00
   159      0.74681820E-05      0.41217110E+00
   160      0.74648806E-05      0.41153425E+00
   161      0.74615896E-05      0.41090372E+00
   162      0.74583245E-05      0.41027907E+00
   163      0.74550862E-05      0.40966192E+00
   164      0.74518625E-05      0.40905038E+00
   165      0.74486447E-05      0.40844375E+00
   166      0.74455043E-05      0.40784514E+00
   167      0.74423583E-05      0.40725151E+00
   168      0.74392287E-05      0.40666547E+00
   169      0.74361442E-05      0.40608540E+00
   170      0.74333561E-05      0.40550977E+00
   171      0.74308555E-05      0.40494129E+00
   172      0.74286595E-05      0.40437916E+00
   173      0.74264640E-05      0.40382233E+00
   174      0.74245081E-05      0.40327084E+00
   175      0.74225936E-05      0.40272588E+00
   176      0.74209011E-05      0.40218595E+00
   177      0.74192917E-05      0.40165067E+00
   178      0.74179552E-05      0.40112111E+00
   179      0.74189152E-05      0.40059713E+00
   180      0.74232835E-05      0.40007994E+00
   181      0.74280069E-05      0.39956573E+00
   182      0.74325721E-05      0.39905754E+00
   183      0.74370382E-05      0.39855585E+00
   184      0.74414224E-05      0.39805704E+00
   185      0.74456184E-05      0.39756411E+00
   186      0.74495842E-05      0.39707547E+00
   187      0.74534796E-05      0.39659259E+00
   188      0.74574218E-05      0.39611453E+00
   189      0.74612735E-05      0.39564174E+00
   190      0.74649624E-05      0.39517263E+00
   191      0.74685518E-05      0.39470789E+00
   192      0.74720047E-05      0.39424789E+00
   193      0.74754589E-05      0.39379191E+00
   194      0.74788622E-05      0.39334163E+00
   195      0.74820928E-05      0.39289528E+00
   196      0.74852574E-05      0.39245293E+00
   197      0.74882651E-05      0.39201546E+00
   198      0.74910613E-05      0.39158139E+00
   199      0.74937911E-05      0.39115122E+00
   200      0.74963837E-05      0.39072621E+00
   201      0.74988088E-05      0.39030576E+00
   202      0.75011667E-05      0.38988772E+00
   203      0.75033877E-05      0.38947463E+00
   204      0.75060834E-05      0.38906386E+00
   205      0.75092335E-05      0.38865769E+00
   206      0.75130947E-05      0.38825601E+00
   207      0.75173698E-05      0.38785833E+00
   208      0.75215303E-05      0.38746288E+00
   209      0.75254861E-05      0.38707241E+00
   210      0.75291941E-05      0.38668463E+00
   211      0.75328403E-05      0.38629997E+00
   212      0.75364737E-05      0.38591984E+00
   213      0.75398953E-05      0.38554177E+00
   214      0.75431353E-05      0.38516796E+00
   215      0.75462976E-05      0.38479796E+00
   216      0.75493131E-05      0.38442883E+00
   217      0.75521539E-05      0.38406596E+00
   218      0.75549265E-05      0.38370466E+00
   219      0.75575426E-05      0.38334644E+00
   220      0.75599887E-05      0.38299066E+00
   221      0.75622579E-05      0.38263935E+00
   222      0.75644339E-05      0.38229030E+00
   223      0.75664284E-05      0.38194329E+00
   224      0.75682456E-05      0.38159904E+00
   225      0.75699199E-05      0.38126004E+00
   226      0.75714902E-05      0.38092193E+00
   227      0.75729063E-05      0.38058785E+00
   228      0.75741509E-05      0.38025403E+00
   229      0.75753014E-05      0.37992343E+00
   230      0.75762559E-05      0.37959614E+00
   231      0.75773974E-05      0.37927181E+00
   232      0.75789849E-05      0.37894952E+00
   233      0.75809430E-05      0.37862897E+00
   234      0.75832982E-05      0.37831268E+00
   235      0.75859825E-05      0.37799701E+00
   236      0.75886037E-05      0.37768534E+00
   237      0.75911680E-05      0.37737393E+00
   238      0.75935450E-05      0.37706667E+00
   239      0.75958224E-05      0.37676048E+00
   240      0.75979997E-05      0.37645659E+00
   241      0.75999719E-05      0.37615556E+00
   242      0.76017527E-05      0.37585551E+00
   243      0.76034853E-05      0.37555900E+00
   244      0.76050760E-05      0.37526354E+00
   245      0.76064662E-05      0.37497041E+00
   246      0.76076849E-05      0.37467948E+00
   247      0.76088277E-05      0.37439039E+00
   248      0.76098859E-05      0.37410259E+00
   249      0.76107058E-05      0.37381768E+00
   250      0.76114511E-05      0.37353310E+00
   251      0.76087340E-05      0.38558158E+00
   252      0.76089354E-05      0.38746613E+00
   253      0.76084707E-05      0.38696879E+00
   254      0.76080078E-05      0.38582906E+00
   255      0.76075748E-05      0.38449410E+00
   256      0.76075380E-05      0.38302094E+00
   257      0.76080678E-05      0.38148540E+00
   258      0.76088781E-05      0.38007110E+00
   259      0.76101473E-05      0.37904561E+00
   260      0.76117080E-05      0.37821731E+00
   261      0.76131878E-05      0.37737533E+00
   262      0.76146462E-05      0.37653524E+00
   263      0.76159695E-05      0.37570783E+00
   264      0.76171209E-05      0.37490103E+00
   265      0.76181050E-05      0.37412211E+00
   266      0.76190368E-05      0.37337509E+00
   267      0.76197844E-05      0.37266192E+00
   268      0.76203769E-05      0.37198573E+00
   269      0.76208339E-05      0.37134916E+00
   270      0.76211909E-05      0.37074950E+00
   271      0.76213964E-05      0.37018722E+00
   272      0.76214269E-05      0.36966467E+00
   273      0.76214028E-05      0.36917648E+00
   274      0.76212141E-05      0.36872423E+00
   275      0.76208598E-05      0.36830205E+00
   276      0.76205297E-05      0.36791152E+00
   277      0.76201036E-05      0.36755002E+00
   278      0.76198344E-05      0.36721504E+00
   279      0.76195533E-05      0.36690432E+00
   280      0.76197075E-05      0.36661702E+00
   281      0.76201641E-05      0.36634964E+00
   282      0.76208767E-05      0.36610284E+00
   283      0.76217989E-05      0.36587131E+00
   284      0.76226938E-05      0.36565480E+00
   285      0.76234278E-05      0.36545238E+00
   286      0.76240690E-05      0.36526334E+00
   287      0.76245228E-05      0.36508226E+00
   288      0.76249598E-05      0.36491176E+00
   289      0.76252600E-05      0.36475006E+00
   290      0.76253950E-05      0.36459500E+00
   291      0.76254169E-05      0.36444381E+00
   292      0.76253564E-05      0.36429900E+00
   293      0.76251954E-05      0.36415967E+00
   294      0.76249112E-05      0.36402291E+00
   295      0.76246019E-05      0.36389005E+00
   296      0.76241527E-05      0.36375707E+00
   297      0.76237511E-05      0.36362705E+00
   298      0.76233273E-05      0.36349902E+00
   299      0.76228812E-05      0.36337179E+00
   300      0.76223928E-05      0.36324516E+00
   301      0.76218757E-05      0.36311686E+00
   302      0.76218626E-05      0.36299032E+00
   303      0.76220963E-05      0.36286473E+00
   304      0.76225683E-05      0.36273679E+00
   305      0.76231449E-05      0.36260840E+00
   306      0.76237516E-05      0.36247969E+00
   307      0.76243173E-05      0.36235121E+00
   308      0.76247456E-05      0.36222088E+00
   309      0.76250453E-05      0.36209098E+00
   310      0.76253004E-05      0.36195952E+00
   311      0.76253627E-05      0.36182749E+00
   312      0.76252913E-05      0.36169475E+00
   313      0.76252131E-05      0.36156291E+00
   314      0.76250667E-05      0.36142808E+00
   315      0.76247529E-05      0.36129400E+00
   316      0.76245146E-05      0.36115867E+00
   317      0.76242090E-05      0.36102265E+00
   318      0.76238803E-05      0.36088702E+00
   319      0.76234942E-05      0.36075091E+00
   320      0.76230676E-05      0.36061496E+00
   321      0.76225610E-05      0.36047810E+00
   322      0.76220472E-05      0.36034006E+00
   323      0.76217884E-05      0.36020300E+00
   324      0.76219881E-05      0.36006513E+00
   325      0.76225001E-05      0.35992706E+00
   326      0.76229967E-05      0.35978869E+00
   327      0.76234774E-05      0.35965142E+00
   328      0.76238330E-05      0.35951355E+00
   329      0.76240094E-05      0.35937464E+00
   330      0.76241804E-05      0.35923716E+00
   331      0.76242859E-05      0.35909942E+00
   332      0.76242281E-05      0.35896245E+00
   333      0.76240062E-05      0.35882482E+00
   334      0.76238161E-05      0.35868853E+00
   335      0.76235956E-05      0.35855043E+00
   336      0.76234296E-05      0.35841516E+00
   337      0.76232873E-05      0.35827953E+00
   338      0.76231177E-05      0.35814184E+00
   339      0.76229908E-05      0.35800654E+00
   340      0.76228248E-05      0.35787261E+00
   341      0.76226252E-05      0.35773763E+00
   342      0.76224069E-05      0.35760343E+00
   343      0.76221049E-05      0.35747039E+00
   344      0.76221186E-05      0.35733527E+00
   345      0.76227502E-05      0.35720304E+00
   346      0.76234351E-05      0.35707259E+00
   347      0.76240581E-05      0.35693896E+00
   348      0.76247998E-05      0.35680956E+00
   349      0.76253928E-05      0.35667935E+00
   350      0.76258998E-05      0.35654777E+00
   351      0.76263714E-05      0.35641968E+00
